MIN,MAX,MEAN,RMS,VAR,CREST FACTOR,SKEW,KURTOSIS,MAX_f,Appnea
-0.885,1.75,-0.0007962626095584,0.2543630439509587,0.0646999240938539,6.87993024779732,2.827631010506733,16.328233178720332,2.0334767229860646,0
-0.9,1.74,0.0005109971886886,0.2696198378344245,0.0726945958357345,6.45353106794963,2.689176687487524,14.858692577204144,4.027249423944478,0
-1.035,1.79,0.0001752935339837,0.2738291973179394,0.0749823985759639,6.536921619507415,2.467887295935183,13.89445943509213,1.8438602912657815,0
-1.17,1.845,-0.0006002976682652,0.2806894433092361,0.0787862032279583,6.573100784440118,1.9166387368941795,11.294910881011315,2.0140002018764784,0
-1.035,1.7,0.0009277327600463,0.2660431167503365,0.0707780792821591,6.389941678496178,2.119218876705925,11.75752533097402,4.485164386833112,0
-0.895,1.795,0.0013461220439887,0.259863707901481,0.0675273346397489,6.907467050691497,2.5773580094264363,14.472942426629276,1.9054010121185656,0
-0.935,1.795,-2.8939970233173776e-05,0.2666455611859099,0.0710998544626269,6.731782790670551,2.5424735656479984,14.21188976123186,1.915265894140967,0
-1.005,1.88,9.922275508516408e-06,0.2816668240465679,0.0793361996700287,6.674552483643512,2.121364891753833,10.998510699261743,2.029080554991653,0
-1.15,1.785,0.001294030097569,0.2591570289146186,0.067160691121959,6.887715943788205,1.9199768125841372,11.08925784245205,1.170709722648849,0
-0.86,1.77,2.64594013560437e-05,0.2576611002841449,0.0663892418995362,6.86948863467582,2.454216579873576,14.080023347487812,1.4208004675621524,0
-0.915,1.745,0.0003671241938151,0.2558583481043595,0.0654633595145179,6.820180044655997,2.572547136766512,14.806864006922034,1.6618126141119174,0
-0.905,1.82,-0.0002662477261451,0.245540715759627,0.0602901722078982,7.412212652266175,2.645049598890433,15.498078675508818,1.2753534230882104,0
-0.93,1.875,-0.0003315693732429,0.2510138282140812,0.0630078320164389,7.469707997126262,2.753099213352286,16.050287332383377,2.107512895586462,0
-0.91,1.925,0.0002075409293864,0.2499423366606112,0.0624711285821289,7.701776440595164,2.940078588760015,18.12296953695236,1.276893628373788,1
-0.985,1.975,0.0009880932693897,0.2495928634523769,0.0622956211580478,7.912886501167275,2.818326561585936,17.200428110255896,1.4468159656230677,1
-0.94,1.92,-0.0007416900942616,0.2495380136863245,0.0622686701703203,7.694218494555653,2.905400733798913,17.688539636135477,1.158106505285901,1
